timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769049581840,186,POST /api/visit/owners/*/pets/{petId}/visits,201,Created,Petclinic Load Test 1-5,text,true,,212,284,5,5,http://4.156.9.169/api/visit/owners/*/pets/1/visits,186,0,0
1769049582411,412,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-1,text,true,,232,275,5,5,http://4.156.9.169/api/customer/owners/6/pets,412,0,0
1769049582196,1165,GET /api/customer/owners,200,OK,Petclinic Load Test 1-4,text,true,,8533,176,5,5,http://4.156.9.169/api/customer/owners,1165,0,0
1769049583955,224,POST /api/customer/owners,201,Created,Petclinic Load Test 1-2,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,224,0,0
1769049584390,104,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-1,text,true,,210,190,5,5,http://4.156.9.169/api/visit/owners/*/pets/12/visits,104,0,0
1769049584236,319,GET /api/vet/vets,200,OK,Petclinic Load Test 1-5,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,319,0,0
1769049583769,1434,GET /api/customer/owners,200,OK,Petclinic Load Test 1-3,text,true,,8534,176,5,5,http://4.156.9.169/api/customer/owners,1434,0,200
1769049585455,188,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-4,text,true,,501,178,5,5,http://4.156.9.169/api/customer/owners/5,188,0,0
1769049586402,233,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-3,text,true,,498,178,5,5,http://4.156.9.169/api/customer/owners/7,233,0,0
1769049587297,156,POST /api/customer/owners,201,Created,Petclinic Load Test 1-1,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,156,0,0
1769049587297,363,GET /api/vet/vets,200,OK,Petclinic Load Test 1-5,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,363,0,0
